Year,Split,Team,Player
2022,Spring,Immortals,WildTurtle
2022,Spring,Immortals,Joey
2022,Winter,Team Liquid,Bwipo
2022,Winter,Team Liquid,Santorin
2022,Winter,Team Liquid,Bjergsen
2022,Winter,Team Liquid,Hans Sama
2022,Winter,Team Liquid,Eyla
2022,Winter,Team Liquid,Bradley
2022,Winter,Team Liquid,Yeon
2022,Winter,Team Liquid,CoreJJ
2022,Winter,Evil Geniuses,Impact
2022,Winter,Evil Geniuses,Inspired
2022,Winter,Evil Geniuses,Jojopyun
2022,Winter,Evil Geniuses,Vulcan
2022,Winter,Evil Geniuses,Danny
2022,Winter,Cloud9,Darshan
2022,Winter,Cloud9,Blaber
2022,Winter,Cloud9,Fudge
2022,Winter,Cloud9,Zven
2022,Winter,Cloud9,Isles
2022,Winter,100 Thieves,Ssumday
2022,Winter,100 Thieves,Closer
2022,Winter,100 Thieves,Abbedagge
2022,Winter,100 Thieves,FBI
2022,Winter,100 Thieves,Huhi
2022,Winter,100 Thieves,Tenacity
2022,Winter,CLG,Jenkins
2022,Winter,CLG,Contractz
2022,Winter,CLG,Palafox
2022,Winter,CLG,Luger
2022,Winter,CLG,Poome
2022,Winter,Dignitas,FakeGod
2022,Winter,Dignitas,River
2022,Winter,Dignitas,Blue
2022,Winter,Dignitas,Neo
2022,Winter,Dignitas,Biofrost
2022,Winter,Dignitas,Exyu
2022,Winter,Flyquest,Kumo
2022,Winter,Flyquest,Josedeodo
2022,Winter,Flyquest,Toucouille
2022,Winter,Flyquest,Johnsun
2022,Winter,Flyquest,Aphromoo
2022,Winter,TSM,V1per
2022,Winter,TSM,Hyper
2022,Winter,TSM,Takeover
2022,Winter,TSM,Instinct
2022,Winter,TSM,Yursan
2022,Winter,Golden Guardians,Tony Top
2022,Winter,Golden Guardians,Iconic
2022,Winter,Golden Guardians,Ryoma
2022,Winter,Golden Guardians,Stixxay
2022,Winter,Golden Guardians,Chime
2022,Winter,Immortals,Revenge
2022,Winter,Immortals,Xerxe
2022,Winter,Immortals,PowerOfEvil
2022,Winter,Immortals,WildTurtle
2022,Winter,Immortals,Destiny
